# OFAC SDN list — name	program
# source: https://www.treasury.gov/ofac/downloads/sdn.csv (US Treasury, public domain)
# fetched: 2026-09-24
# refresh: node scripts/fetch-reference.ts
AEROCARIBBEAN AIRLINES	CUBA
ANGLO-CARIBBEAN CO., LTD.	CUBA
BANCO NACIONAL DE CUBA	CUBA
BOUTIQUE LA MAISON	CUBA
CASA DE CUBA	CUBA
CECOEX, S.A.	CUBA
CIMEX	CUBA
CIMEX IBERICA	CUBA
CIMEX, S.A.	CUBA
COMERCIAL IBEROAMERICANA, S.A.	CUBA
COMERCIAL CIMEX, S.A.	CUBA
COMERCIAL DE RODAJES Y MAQUINARIA, S.A.	CUBA
COMERCIALIZACION DE PRODUCTOS VARIOS	CUBA
COMPANIA DE IMPORTACION Y EXPORTACION IBERIA	CUBA
CORPORACION CIMEX, S.A.	CUBA
COTEI	CUBA
CRYMSA - ARGENTINA, S.A.	CUBA
CUBACANCUN CIGARS AND GIFT SHOPS	CUBA
CUBAEXPORT	CUBA
CUBAFRUTAS	CUBA
CUBAN CIGARS TRADE	CUBA
CUBANATUR	CUBA
CUBATABACO	CUBA
CUMEXINT, S.A.	CUBA
DELVEST HOLDING, S.A.	CUBA
EDICIONES CUBANAS	CUBA
EDYJU, S.A.	CUBA
EMPRESA CUBANA DE AVIACION	CUBA
EMPRESA CUBANA DE PESCADOS Y MARISCOS	CUBA
EMPRESA DE TURISMO NACIONAL Y INTERNACIONAL	CUBA
ETCO INTERNATIONAL COMMODITIES LTD.	CUBA
ETCO INTERNATIONAL COMPANY, LIMITED	CUBA
GALAX TRADING CO., LTD.	CUBA
HAVIN BANK LIMITED	CUBA
HAVANATUR	CUBA
INSTITUTO NACIONAL DE TURISMO DE CUBA	CUBA
INTERCONSULT	CUBA
KAVE, S.A.	CUBA
LA EMPRESA CUBANA DE FLETES	CUBA
LEVERAGE, S.A.	CUBA
NIREF	CUBA
NORDSTRAND LTD.	CUBA
NORDSTRAND MARITIME AND TRADING COMPANY	CUBA
PANAMERICAN IMPORT AND EXPORT COMMERCIAL CORPORATION	CUBA
PESCABRAVA, S.A.	CUBA
PRELASA	CUBA
PRENSA LATINA CANADA LTD.	CUBA
PRENSA LATINA	CUBA
SERVINAVES, S.A.	CUBA
TROBER, S.A.	CUBA
TROPIC TOURS GMBH	CUBA
VIAJES GUAMA, S.A.	CUBA
VINALES TOURS	CUBA
ABBAS, Abu	SDGT
AL RAHMAN, Shaykh Umar Abd	SDGT
AL ZAWAHIRI, Dr. Ayman	SDGT
AL-ZOMOR, Abboud Abdul Latif Hassan	SDGT
AWDA, Abd Al Aziz	SDGT
FADLALLAH, Shaykh Muhammad Husayn	SDGT
HAWATMA, Nayif	SDGT
ISLAMBOULI, Mohammad Shawqi	SDGT
JABRIL, Ahmad	SDGT
NAJI, Talal Muhammad Rashid	SDGT
NASRALLAH, Hasan	SDGT
TUFAYLI, Subhi	SDGT
YASSIN, Sheik Ahmed Ismail	SDGT
COBALT REFINERY CO. INC.	CUBA
LA COMPANIA GENERAL DE NIQUEL	CUBA
INTERNATIONAL COBALT CO. INC.	CUBA
MOA NICKEL SA	CUBA] [CUBA-EO14404
ABU MARZOOK, Mousa Mohammed	SDGT
RODRIGUEZ OREJUELA, Miguel Angel	SDNT
MAR AZUL	CUBA
EBANO	CUBA
TIFON	CUBA
ABDALLAH, Ramadan	SDGT
BANK MARKAZI JOMHOURI ISLAMI IRAN	IRAN] [SDGT] [IRGC] [IFSR
BANK MASKAN	IRAN] [IRAN-EO13902
BANK REFAH KARGARAN	IRAN] [IRAN-EO13902
BANK KESHAVARZI IRAN	IRAN] [IRAN-EO13902
BANK SADERAT PLC	IRAN] [SDGT] [IFSR
ABU SAYYAF GROUP	FTO] [SDGT
